#,Name,Team,IP,vFA,vFC,vFS,vSI,vCH,vSL,vCU,vCS,vKN,vSB,Year,YearDate
312,Seth Lugo,NYM,46.1,94.2, , ,93.4,86.8,88.3,79.2, , , ,2021.0,2021-01-01
313,Mike Foltynewicz,TEX,139.0,94.2, , ,93.5,85.6,83.5,77.1, , , ,2021.0,2021-01-01
314,Adbert Alzolay,CHC,125.2,94.2,90.2, ,93.9,85.7,86.2,80.4, , , ,2021.0,2021-01-01
315,Brent Honeywell,TBR,4.1,94.2, , , ,85.5,86.5, , , ,83.1,2021.0,2021-01-01
316,David Hess,- - -,20.0,94.2,85.5, , ,86.5,81.8,75.1, , , ,2021.0,2021-01-01
317,Archie Bradley,PHI,51.0,94.2, , ,93.9,85.6, ,78.3, , , ,2021.0,2021-01-01
318,Joely Rodriguez,- - -,46.1,94.2, , ,94.3,88.5,85.9, , , , ,2021.0,2021-01-01
319,Bryan Garcia,DET,39.1,94.2, , , ,85.9,86.8, , , , ,2021.0,2021-01-01
320,Seth Elledge,STL,11.2,94.2, , , ,86.5, ,83.1, , , ,2021.0,2021-01-01
321,Jesse Hahn,KCR,3.1,94.2, , ,94.5,89.7,84.8,77.5, , , ,2021.0,2021-01-01
322,Kyle Zimmer,KCR,54.0,94.2, , , ,87.1,83.4,77.8, , , ,2021.0,2021-01-01
323,John Axford,MIL,0.1,94.2, , ,94.2, , ,79.0, , , ,2021.0,2021-01-01
324,Ty Tice,- - -,8.0,94.2, , , , ,87.4,79.9, , , ,2021.0,2021-01-01
325,Darien Nunez,LAD,7.2,94.2, , , ,80.7,79.1, , , , ,2021.0,2021-01-01
326,Jose Berrios,- - -,192.0,94.1, , ,93.8,84.8, ,83.0, , , ,2021.0,2021-01-01
327,Jacob Webb,ATL,34.1,94.1, , , ,83.7, ,81.2, , , ,2021.0,2021-01-01
328,Thomas Hatch,TOR,9.1,94.1, , ,93.4,83.4,85.1, , , , ,2021.0,2021-01-01
329,Manny Barreda,BAL,2.2,94.1, , , ,85.5,84.8, , , , ,2021.0,2021-01-01
330,Mitch Keller,PIT,100.2,94.1, , , ,90.1,86.4,78.9, , , ,2021.0,2021-01-01
331,Michael Feliz,- - -,20.0,94.1, , , ,86.5,81.3, , , , ,2021.0,2021-01-01
332,Shawn Armstrong,- - -,36.0,94.1,89.5, , , ,87.3,84.2, , , ,2021.0,2021-01-01
333,Andre Scrubb,HOU,19.2,94.1,87.7, , , , ,80.3, , , ,2021.0,2021-01-01
334,Dan Winkler,CHC,39.2,94.1,91.4, ,92.7,90.7,82.6, , , , ,2021.0,2021-01-01
335,Austin Adams,SDP,52.2,94.1, , , , ,86.9, , , , ,2021.0,2021-01-01
336,Jimmie Sherfy,- - -,15.0,94.1, , , ,88.0, ,80.5, , , ,2021.0,2021-01-01
337,Brandon Bielak,HOU,50.0,94.1,90.1, ,93.5,88.4,83.1,80.4, , , ,2021.0,2021-01-01
338,Casey Mize,DET,150.1,94.1, ,86.1,93.5, ,86.1,81.5, , , ,2021.0,2021-01-01
339,Adrian Houser,MIL,142.1,94.1, , ,93.6,87.6,84.0,80.1, , , ,2021.0,2021-01-01
340,Jameson Taillon,NYY,144.1,94.1,90.6, ,94.2,88.1,87.0,80.9, , , ,2021.0,2021-01-01
341,Julio Urias,LAD,185.2,94.0, , , ,86.8, ,81.3, , , ,2021.0,2021-01-01
342,Louis Head,TBR,35.0,94.0, , , ,89.7,82.7, , , , ,2021.0,2021-01-01
343,Corbin Martin,ARI,16.0,94.0, , , ,87.2,87.7,82.2, , , ,2021.0,2021-01-01
344,Lance Lynn,CHW,157.0,94.0,88.7, ,92.3,86.8, ,82.2, , , ,2021.0,2021-01-01
345,Kodi Whitley,STL,25.1,94.0, , , ,85.0,84.7, , , , ,2021.0,2021-01-01
346,Edgar Garcia,- - -,14.2,94.0, , ,94.4,88.3,86.6, , , , ,2021.0,2021-01-01
347,Damon Jones,PHI,0.1,94.0, , , , ,81.6, , , , ,2021.0,2021-01-01
348,Gabe Speier,KCR,7.2,94.0, , ,93.9,87.6,83.3, , , , ,2021.0,2021-01-01
349,Brett Martin,TEX,62.1,94.0, , ,93.4, ,87.9,82.6, , , ,2021.0,2021-01-01
350,Pablo Lopez,MIA,102.2,94.0,91.4, ,93.7,88.0, ,80.1, , , ,2021.0,2021-01-01
351,Michael Wacha,TBR,124.2,94.0,89.4, ,94.2,87.2, ,76.4, , , ,2021.0,2021-01-01
352,Max Fried,ATL,165.2,94.0, , ,93.4,84.7,84.7,74.4, , , ,2021.0,2021-01-01
353,Drew Pomeranz,SDP,25.2,94.0, , , , , ,84.2, , , ,2021.0,2021-01-01
354,Trevor Bauer,LAD,107.2,94.0,85.4, ,94.3,88.1,80.9,79.7, , , ,2021.0,2021-01-01
355,Jack Flaherty,STL,78.1,94.0, , ,91.3,85.1,84.1,76.6, , , ,2021.0,2021-01-01
356,Lucas Giolito,CHW,178.2,94.0, , , ,81.6,85.7,80.7, , , ,2021.0,2021-01-01
357,Jimmy Nelson,LAD,29.0,94.0, , ,93.8, ,86.6,85.2, , , ,2021.0,2021-01-01
358,Austin Warren,LAA,20.1,93.9, , ,93.6,87.7,87.2, , , , ,2021.0,2021-01-01
359,Keegan Thompson,CHC,53.1,93.9,89.9, ,92.0,86.8, ,82.6, , , ,2021.0,2021-01-01
360,Phil Bickford,- - -,51.1,93.9, ,85.1,92.4, ,84.0, , , , ,2021.0,2021-01-01
361,Daniel Lynch,KCR,68.0,93.9, , ,93.3,84.8,85.3,77.5, , , ,2021.0,2021-01-01
362,Ryan Weathers,SDP,94.2,93.9, , ,93.4,86.5,86.6, , , , ,2021.0,2021-01-01
363,Luis Cessa,- - -,64.2,93.9, , ,93.3,88.1,82.9,74.8, , , ,2021.0,2021-01-01
364,Wil Crowe,PIT,116.2,93.9, , ,93.1,85.3,85.5,80.6, , , ,2021.0,2021-01-01
365,Chris Sale,BOS,42.2,93.9, , ,92.5,86.7,78.4, , , , ,2021.0,2021-01-01
366,Wily Peralta,DET,93.2,93.9, ,81.4,94.1, ,82.6, , , , ,2021.0,2021-01-01
367,Tony Gonsolin,LAD,55.2,93.9, ,83.4, , ,87.0,80.2, , , ,2021.0,2021-01-01
368,Alex Colome,MIN,65.0,93.9,89.6, , , , , , , , ,2021.0,2021-01-01
369,Joe Ross,WSN,108.0,93.9, , ,93.6,88.7,84.8, , , , ,2021.0,2021-01-01
370,Alberto Baldonado,WSN,10.2,93.9, , ,92.2,84.8,79.3, , , , ,2021.0,2021-01-01
371,Stephen Nogosek,NYM,3.0,93.9, , , ,87.4,85.4,77.1, , , ,2021.0,2021-01-01
372,David Phelps,TOR,10.1,93.9,90.6, ,93.4,86.8, ,82.0, , , ,2021.0,2021-01-01
373,Sean Reid-Foley,NYM,20.2,93.9, , , ,86.8,84.1, , , , ,2021.0,2021-01-01
374,Carlos Martinez,STL,82.1,93.8,91.0, ,91.7,85.2,82.7,77.2, , , ,2021.0,2021-01-01
375,Justin Dunn,SEA,50.1,93.8, , , ,89.6,84.3,80.3, , , ,2021.0,2021-01-01
376,Randy Dobnak,MIN,50.2,93.8, , ,91.8,84.9,84.4, , , , ,2021.0,2021-01-01
377,Ranger Suarez,PHI,106.0,93.8, , ,93.0,85.1,84.4, , , , ,2021.0,2021-01-01
378,Chris Ellis,- - -,29.1,93.8, , , ,87.3,86.0,81.2, , , ,2021.0,2021-01-01
379,Josh Osich,CIN,14.1,93.8,87.4, ,93.8,81.7,75.8, , , , ,2021.0,2021-01-01
380,Justin Wilson,- - -,34.0,93.8,89.8, , , ,81.8, , , , ,2021.0,2021-01-01
381,Dylan Floro,MIA,64.0,93.8, , ,93.7,86.4,87.3, , , , ,2021.0,2021-01-01
382,Jonathan Stiever,CHW,0.0,93.8, , ,93.4,80.8,82.2, , , , ,2021.0,2021-01-01
383,Derek Law,MIN,15.0,93.8, , ,93.8,86.1,86.8,75.4, , , ,2021.0,2021-01-01
384,Ian Krol,DET,18.2,93.8,87.5, ,94.2,85.3, ,78.2, , , ,2021.0,2021-01-01
385,Danny Duffy,KCR,61.0,93.8, , ,93.6,85.2,83.5,77.4, , , ,2021.0,2021-01-01
386,Taylor Williams,- - -,11.2,93.8, , ,94.2, ,84.0, , , , ,2021.0,2021-01-01
387,Alex Vesia,LAD,40.0,93.8, , , ,85.9,85.0, , , , ,2021.0,2021-01-01
388,Shelby Miller,- - -,12.2,93.8,88.9, , , ,80.5, , , , ,2021.0,2021-01-01
389,Will Vest,SEA,35.0,93.8, , ,93.9,84.8,85.3, , , , ,2021.0,2021-01-01
390,Marcos Diplan,BAL,30.0,93.7, , , ,86.0, ,81.1, , , ,2021.0,2021-01-01
391,Jimmy Lambert,CHW,13.0,93.7, , , ,85.0,82.1,75.8, , , ,2021.0,2021-01-01
392,Austin Davis,- - -,26.1,93.7, , , ,84.5,81.9, , , , ,2021.0,2021-01-01
393,Cristian Javier,HOU,101.1,93.7, , ,92.8,86.7,81.2,76.1, , , ,2021.0,2021-01-01
394,Carson Fulmer,CIN,25.2,93.7, , , ,87.3,87.0,82.7, , , ,2021.0,2021-01-01
395,Sam Howard,PIT,45.0,93.7, , , ,84.1,85.1, , , , ,2021.0,2021-01-01
396,Matt Foster,CHW,39.0,93.7,90.1, , ,84.4,85.3, , , , ,2021.0,2021-01-01
397,Spencer Patton,TEX,42.1,93.7, , , ,86.0,84.1, , , , ,2021.0,2021-01-01
398,Kyle Wright,ATL,6.1,93.7, , ,92.5,87.2,87.3,80.8, , , ,2021.0,2021-01-01
399,Brad Brach,CIN,30.0,93.7,91.8, ,93.6,86.2,83.7, , , , ,2021.0,2021-01-01
400,Luke Weaver,ARI,65.2,93.7,87.4, , ,85.4, ,78.0, , , ,2021.0,2021-01-01
401,A.J. Cole,TOR,8.0,93.7,89.5, , ,87.4,84.6,78.0, , , ,2021.0,2021-01-01
402,Tim Mayza,TOR,53.0,93.7, , ,93.9, ,87.9, , , , ,2021.0,2021-01-01
403,Jeffrey Springs,TBR,44.2,93.7, , , ,84.2,83.2, , , , ,2021.0,2021-01-01
404,Brady Singer,KCR,128.1,93.7, , ,93.8,88.1,85.4, , , , ,2021.0,2021-01-01
405,Fernando Abad,BAL,17.2,93.7, , ,92.5,75.1,82.3,76.6, , , ,2021.0,2021-01-01
406,Jose Quijada,LAA,25.2,93.7, , , ,86.4, ,79.6, , , ,2021.0,2021-01-01
407,Hunter Wood,TEX,5.0,93.7,87.6, , ,86.3, ,77.0, , , ,2021.0,2021-01-01
408,Matt Manning,DET,85.1,93.7, , ,93.7,87.6,85.5,78.7, , , ,2021.0,2021-01-01
409,Jon Heasley,KCR,14.2,93.6, , , ,85.2, ,80.1, , , ,2021.0,2021-01-01
410,Griffin Canning,LAA,62.2,93.6, , , ,89.2,88.2,81.9, , , ,2021.0,2021-01-01
411,Tommy Hunter,NYM,8.0,93.6,89.9, ,92.3, , ,83.3, , , ,2021.0,2021-01-01
412,Carl Edwards Jr.,- - -,5.2,93.6, , , , , ,79.2, , , ,2021.0,2021-01-01
413,Cody Poteet,MIA,30.2,93.6, , , ,86.8,85.7,79.3, , , ,2021.0,2021-01-01
414,Burch Smith,OAK,43.1,93.6,83.6, ,91.3,82.3, ,78.8, , , ,2021.0,2021-01-01
415,Mike Baumann,BAL,10.0,93.6, , , ,87.0,89.4,81.2, , , ,2021.0,2021-01-01
416,Peter Lambert,COL,5.2,93.6, , , ,84.8,84.2,76.7, , , ,2021.0,2021-01-01
417,Trent Thornton,TOR,49.0,93.6,89.6,84.2,93.0, ,84.3,80.0, , , ,2021.0,2021-01-01
418,Matt Harvey,BAL,127.2,93.6, , ,92.9,85.4,87.0,80.1, , , ,2021.0,2021-01-01
419,Stephen Gonsalves,BOS,4.1,93.6, , , , ,84.0,73.0, , , ,2021.0,2021-01-01
420,Martin Perez,BOS,114.0,93.6,89.8, ,93.0,85.0, ,79.0, , , ,2021.0,2021-01-01
421,Miles Mikolas,STL,44.2,93.6, , ,93.2,87.7,87.8,76.9, , , ,2021.0,2021-01-01
422,Domingo German,NYY,98.1,93.5, , ,93.8,86.7, ,81.3, , , ,2021.0,2021-01-01
423,Alek Manoah,TOR,111.2,93.5, , ,92.8,86.8,81.0, , , , ,2021.0,2021-01-01
424,A.J. Alexy,TEX,23.0,93.5, , , ,86.0,81.1,76.4, , , ,2021.0,2021-01-01
425,Brandyn Sittinger,ARI,4.2,93.5, , , , ,83.4, , , , ,2021.0,2021-01-01
426,Chris Bassitt,OAK,157.1,93.5,88.9, ,93.0,85.6,76.6,72.0, , , ,2021.0,2021-01-01
427,Jose De Leon,CIN,18.1,93.5, , , ,84.7,79.4, , , , ,2021.0,2021-01-01
428,Raynel Espinal,BOS,2.0,93.5, , , ,87.1, , , , , ,2021.0,2021-01-01
429,Brad Boxberger,MIL,64.2,93.5, , , ,82.5,88.0, , , , ,2021.0,2021-01-01
430,Tayler Saucedo,TOR,25.2,93.5, , ,93.6,86.8,85.6,79.7, , , ,2021.0,2021-01-01
431,Miguel Del Pozo,DET,5.1,93.5, , , ,88.4, ,82.7, , , ,2021.0,2021-01-01
432,Jharel Cotton,TEX,30.2,93.5,87.0, , ,80.3,82.0,77.0, , , ,2021.0,2021-01-01
433,Carlos Carrasco,NYM,53.2,93.5, , ,92.7,87.4,87.7,82.3, , , ,2021.0,2021-01-01
434,Reiss Knehr,SDP,29.0,93.5,88.5, , ,88.8,81.8, , , , ,2021.0,2021-01-01
435,Ervin Santana,KCR,65.1,93.5, , ,92.5,87.1,84.5, , , , ,2021.0,2021-01-01
436,Lucas Gilbreath,COL,42.2,93.5, , , ,84.0,81.8, , , , ,2021.0,2021-01-01
437,Ryan Tepera,- - -,61.1,93.4,86.6,86.6,93.6, ,81.8, , , , ,2021.0,2021-01-01
438,Kirby Snead,TOR,7.2,93.4, , ,93.1,85.8,80.3, , , , ,2021.0,2021-01-01
439,Lance McCullers Jr.,HOU,162.1,93.4,89.6, ,94.1,86.0,86.1,84.2, , , ,2021.0,2021-01-01
440,Joe Biagini,CHC,3.0,93.4,83.8, ,93.1,85.2, ,72.3, , , ,2021.0,2021-01-01
441,Kyle Muller,ATL,36.2,93.4, , , ,87.9,86.6,80.5, , , ,2021.0,2021-01-01
442,Zac Gallen,ARI,121.1,93.4,90.3, ,92.2,86.2,86.6,79.8, , , ,2021.0,2021-01-01
443,Travis Lakins Sr.,BAL,28.0,93.4,91.4, ,93.0,87.9, ,80.6, , , ,2021.0,2021-01-01
444,Daulton Jefferies,OAK,15.0,93.4,91.3, ,93.4,86.9,79.9, , , , ,2021.0,2021-01-01
445,Vince Velasquez,- - -,94.1,93.4, , ,92.0,89.0,85.1,82.2, , , ,2021.0,2021-01-01
446,Freddy Peralta,MIL,144.1,93.4, , ,91.5,88.0,80.5,76.7, , , ,2021.0,2021-01-01
447,Vladimir Gutierrez,CIN,114.0,93.4, , , ,81.6,83.4,77.7, , , ,2021.0,2021-01-01
448,Daniel Ponce de Leon,STL,33.1,93.4,89.4, ,90.5,86.4, ,77.3, , , ,2021.0,2021-01-01
449,Jordan Lyles,TEX,180.0,93.3, , ,91.9,86.6,84.0,80.6, , , ,2021.0,2021-01-01
450,Luis Garcia,HOU,155.1,93.3,86.1, , ,83.5,80.0,76.0, , , ,2021.0,2021-01-01
451,Justus Sheffield,SEA,80.1,93.3, , ,92.4,85.8,81.8, , , , ,2021.0,2021-01-01
452,Patrick Sandoval,LAA,87.0,93.3, , ,93.3,84.7,85.6,78.6, , , ,2021.0,2021-01-01
453,Joe Musgrove,SDP,181.1,93.3,90.6, ,93.0,87.0,84.1,82.1, , , ,2021.0,2021-01-01
454,Cody Ponce,PIT,38.1,93.3,89.5, , ,86.3,84.1,79.6, , , ,2021.0,2021-01-01
455,Wyatt Mills,SEA,12.2,93.3, , ,92.6, ,82.8, , , , ,2021.0,2021-01-01
456,Dylan Lee,ATL,2.0,93.3, , , ,87.2,85.5, , , , ,2021.0,2021-01-01
457,J.P. Feyereisen,- - -,56.0,93.3, , , ,87.8,86.5, , , , ,2021.0,2021-01-01
458,Shaun Anderson,- - -,23.1,93.3, , ,93.5,86.4,86.9,82.6, , , ,2021.0,2021-01-01
459,Richard Lovelady,KCR,20.2,93.3, , ,93.2, ,86.7, , , , ,2021.0,2021-01-01
460,Sean Doolittle,- - -,49.2,93.3,84.1,80.5, , ,79.9, , , , ,2021.0,2021-01-01
461,Richard Rodriguez,- - -,64.1,93.3, , , , , ,81.5, , , ,2021.0,2021-01-01
462,Jake Latz,TEX,4.2,93.3, , , ,83.7,80.5,74.7, , , ,2021.0,2021-01-01
463,Justin Steele,CHC,57.0,93.3, , ,93.0,87.5,83.1,79.3, , , ,2021.0,2021-01-01
464,Cole Sulser,BAL,63.1,93.3, , , ,84.0,86.4,77.3, , , ,2021.0,2021-01-01
465,Brandon Dickson,STL,2.0,93.3, , ,91.7,84.5, ,85.4, , , ,2021.0,2021-01-01
466,Kyle Barraclough,MIN,13.0,93.3, , , ,87.3,77.3, , , , ,2021.0,2021-01-01
467,Jake Newberry,KCR,4.1,93.3, , , ,87.6,84.6, , , , ,2021.0,2021-01-01
468,Angel Rondon,STL,2.0,93.3, , , ,83.1,81.3,74.8, , , ,2021.0,2021-01-01
469,Andrew Wantz,LAA,27.1,93.3,88.3, , ,86.9,83.4,83.0, , , ,2021.0,2021-01-01
470,Logan Webb,SFG,148.1,93.3,91.5, ,92.8,86.1, ,82.4, , , ,2021.0,2021-01-01
471,James Kaprielian,OAK,119.1,93.3, , ,92.7,84.0,85.4,78.1, , , ,2021.0,2021-01-01
472,Alex Cobb,LAA,93.1,93.2, ,87.5,92.7, , ,83.0, , , ,2021.0,2021-01-01
473,Zach Eflin,PHI,105.2,93.2, , ,92.6,85.4,87.8,77.7, , , ,2021.0,2021-01-01
474,Evan Marshall,CHW,27.1,93.2, , ,93.3,88.5,82.6, , , , ,2021.0,2021-01-01
475,Bryse Wilson,- - -,74.0,93.2,89.0, ,92.9,87.0,85.8,77.2, , , ,2021.0,2021-01-01
476,Chris Stratton,PIT,79.1,93.2, , ,93.7,86.9,86.0,80.4, , , ,2021.0,2021-01-01
477,Sean Guenther,MIA,20.1,93.2, , , ,87.3,82.6, , , , ,2021.0,2021-01-01
478,Colin Rea,MIL,6.0,93.2,86.2, ,91.7,84.5, ,79.0, , , ,2021.0,2021-01-01
479,Anthony Swarzak,- - -,12.1,93.2, , ,93.3, ,86.1, , , , ,2021.0,2021-01-01
480,Francisco Perez,CLE,6.2,93.2, , , ,86.5,83.2, , , , ,2021.0,2021-01-01
481,Jarlin Garcia,SFG,68.2,93.2, , , ,85.2,82.6, , , , ,2021.0,2021-01-01
482,Touki Toussaint,ATL,50.0,93.2, ,87.4,92.9, , ,76.4, , , ,2021.0,2021-01-01
483,JT Brubaker,PIT,124.1,93.2, , ,93.6,87.5,87.4,79.7, , , ,2021.0,2021-01-01
484,Blake Taylor,HOU,42.2,93.2, , , , ,82.7, , , , ,2021.0,2021-01-01
485,Beau Burrows,- - -,11.0,93.2,84.8, , ,85.2, ,75.3, , , ,2021.0,2021-01-01
486,Derek Holland,DET,49.2,93.2, , ,93.0,85.1,81.5, , , , ,2021.0,2021-01-01
487,Cam Bedrosian,- - -,25.0,93.1, ,84.5, , ,88.5,81.4, , , ,2021.0,2021-01-01
488,Erasmo Ramirez,DET,26.2,93.1,89.3, ,92.5,85.5,84.5, , , , ,2021.0,2021-01-01
489,Matt Strahm,SDP,6.2,93.1, , ,93.2,86.4,88.1,83.1, , , ,2021.0,2021-01-01
490,Shane Greene,- - -,23.2,93.1,87.3, ,92.6,86.1,81.0, , , , ,2021.0,2021-01-01
491,Jaime Barria,LAA,56.2,93.1, , ,92.5,85.7,85.8, , , , ,2021.0,2021-01-01
492,JC Mejia,CLE,52.1,93.1, , ,92.7,87.8,82.8,80.5, , , ,2021.0,2021-01-01
493,Adam Morgan,CHC,25.1,93.1, , ,92.4,85.5,82.6,78.8, , , ,2021.0,2021-01-01
494,Brad Hand,- - -,64.2,93.1, , ,93.2, ,80.3, , , , ,2021.0,2021-01-01
495,David Hale,PHI,26.2,93.1, , ,92.2,82.8,82.9, , , , ,2021.0,2021-01-01
496,Kyle Gibson,- - -,182.0,93.1,89.7, ,92.5,85.0,83.7,79.6, , , ,2021.0,2021-01-01
497,Aaron Nola,PHI,180.2,93.1,86.6, ,92.1,85.2, ,78.6, , , ,2021.0,2021-01-01
498,Domingo Acevedo,OAK,11.0,93.1, , , ,86.1,85.3, , , , ,2021.0,2021-01-01
499,Vinny Nittoli,SEA,1.0,93.1, , , , ,84.4, , , , ,2021.0,2021-01-01
500,Justin Miller,- - -,19.0,93.0, , ,93.4,91.1,83.2, , , , ,2021.0,2021-01-01
501,Tucker Davidson,ATL,20.0,93.0, , , ,85.4,86.9,78.7, , , ,2021.0,2021-01-01
502,Jesse Biddle,ATL,10.2,93.0, , ,93.2, ,83.0,78.0, , , ,2021.0,2021-01-01
503,Ryan Thompson,TBR,34.0,93.0,81.2, ,90.6,81.7,78.4, , , , ,2021.0,2021-01-01
504,Pedro Avila,SDP,4.0,93.0, , ,92.7,82.6,81.2,74.6, , , ,2021.0,2021-01-01
505,Nick Anderson,TBR,6.0,93.0, , , , ,81.1, , , , ,2021.0,2021-01-01
506,David Price,LAD,73.2,93.0,89.0, ,92.8,85.5, ,76.7, , , ,2021.0,2021-01-01
507,Ljay Newsome,SEA,14.2,93.0, , , ,86.5, ,78.1, , , ,2021.0,2021-01-01
508,Kyle Nelson,CLE,9.2,93.0,89.1, , , ,82.7, , , , ,2021.0,2021-01-01
509,John Schreiber,BOS,3.0,93.0, , ,91.4,84.6,80.5, , , , ,2021.0,2021-01-01
510,Austin Brice,BOS,13.2,93.0, , ,93.1,88.8, ,82.3, , , ,2021.0,2021-01-01
511,Matt Peacock,ARI,86.1,93.0, , ,93.3,86.5,87.3, , , , ,2021.0,2021-01-01
512,Logan Allen,CLE,50.1,93.0, , ,90.8,83.6,81.9,77.0, , , ,2021.0,2021-01-01
513,Zach Plesac,CLE,142.2,93.0, , , ,85.8,86.9,80.4, , , ,2021.0,2021-01-01
514,Jesus Tinoco,COL,1.1,93.0, , ,94.0, , ,84.5, , , ,2021.0,2021-01-01
515,John Brebbia,SFG,18.1,93.0, , , ,88.0,81.4, , , , ,2021.0,2021-01-01
516,Riley Smith,ARI,67.1,93.0, , ,92.9,86.4,83.5,79.3, , , ,2021.0,2021-01-01
517,Paul Campbell,MIA,26.2,93.0,89.3, , ,86.2,86.7,79.2, , , ,2021.0,2021-01-01
518,Jose Suarez,LAA,98.1,92.9, , ,91.4,82.3, ,78.4, , , ,2021.0,2021-01-01
519,Yefry Ramirez,LAD,2.0,92.9, , , ,86.6,87.4,79.5, , , ,2021.0,2021-01-01
520,Marcus Stroman,NYM,179.0,92.9,90.5,89.8,92.0,86.1,85.3,78.9, , , ,2021.0,2021-01-01
521,Alex McRae,CHW,2.0,92.9, , ,92.5,87.6,84.5, , , , ,2021.0,2021-01-01
522,Chase De Jong,PIT,43.2,92.9, , , ,86.3,85.0,77.9, , , ,2021.0,2021-01-01
523,Reid Detmers,LAA,20.2,92.9, , , ,83.5,85.6,73.5, , , ,2021.0,2021-01-01
524,Chris Flexen,SEA,179.2,92.9,89.2, , ,82.8, ,77.3, , , ,2021.0,2021-01-01
525,Paul Fry,BAL,47.1,92.9, , , ,91.3,85.2, , , , ,2021.0,2021-01-01
526,Caleb Baragar,SFG,23.0,92.9, , , , ,83.1,78.6, , , ,2021.0,2021-01-01
527,Shane Bieber,CLE,96.2,92.9,88.2, , ,87.6,85.8,83.2, , , ,2021.0,2021-01-01
528,John Means,BAL,146.2,92.9, , , ,83.5,86.4,78.1, , , ,2021.0,2021-01-01
529,Brandon Brennan,BOS,3.0,92.9, , ,92.8,81.8,84.0, , , , ,2021.0,2021-01-01
530,Greg Holland,KCR,55.2,92.8, ,85.1, , ,85.7,77.5, , , ,2021.0,2021-01-01
531,Dakota Hudson,STL,8.2,92.8,89.1, ,92.4,87.0,81.1, , , , ,2021.0,2021-01-01
532,Will Smith,ATL,68.0,92.8, , , , ,82.2,77.7, , , ,2021.0,2021-01-01
533,Daniel Norris,- - -,57.0,92.8, , ,90.2,87.0,84.9, , , , ,2021.0,2021-01-01
534,Wade Davis,KCR,42.2,92.8,88.7, ,91.5,84.6, ,82.1, , , ,2021.0,2021-01-01
535,Eduardo Rodriguez,BOS,157.2,92.8,88.6, ,92.7,85.6,82.3, , , , ,2021.0,2021-01-01
536,Mac Sceroler,BAL,7.2,92.8, , , ,82.1,83.4,78.4, , , ,2021.0,2021-01-01
537,Kyle Crick,PIT,24.1,92.8, , ,92.5,87.0,79.0, , , , ,2021.0,2021-01-01
538,David Peterson,NYM,66.2,92.8, , ,92.5,84.0,82.2,74.6, , , ,2021.0,2021-01-01
539,R.J. Alaniz,CIN,2.2,92.8, , ,93.2,86.5,83.8, , , , ,2021.0,2021-01-01
540,Edwin Uceta,LAD,20.1,92.8, , , ,87.5,80.0, , , , ,2021.0,2021-01-01
541,Drew Anderson,TEX,22.0,92.8, , , ,86.8,84.1,77.4, , , ,2021.0,2021-01-01
542,Jake Reed,- - -,10.0,92.8, , ,87.7, ,80.0, , , , ,2021.0,2021-01-01
543,Clarke Schmidt,NYY,6.1,92.8, , ,92.8,87.9,87.9,81.9, , , ,2021.0,2021-01-01
544,Joakim Soria,- - -,37.1,92.7, ,87.6, , ,77.7,70.8, , , ,2021.0,2021-01-01
545,Taylor Widener,ARI,70.1,92.7, , , ,85.8,84.1, , , , ,2021.0,2021-01-01
546,Brandon Waddell,- - -,9.1,92.7, , ,92.6,86.2,86.0, , , , ,2021.0,2021-01-01
547,Isaac Mattson,BAL,4.1,92.7, , , ,86.2,84.5,80.8, , , ,2021.0,2021-01-01
548,Griffin Jax,MIN,82.0,92.7, , , ,85.7,83.4,79.9, , , ,2021.0,2021-01-01
549,Cory Abbott,CHC,17.1,92.7, , , ,86.8,87.8,84.1, , , ,2021.0,2021-01-01
550,Brad Wieck,CHC,17.0,92.7, , , , ,85.4,73.2, , , ,2021.0,2021-01-01
551,Adonis Medina,PHI,7.2,92.7,85.7, ,93.0,86.4,81.2, , , , ,2021.0,2021-01-01
552,Trevor Richards,- - -,64.1,92.7, , , ,84.5,84.2, , , , ,2021.0,2021-01-01
553,Hans Crouse,PHI,7.0,92.7, , , ,84.7,85.1, , , , ,2021.0,2021-01-01
554,Janson Junk,LAA,16.1,92.7, , , ,88.0,80.7,79.4, , , ,2021.0,2021-01-01
555,Ashton Goudeau,- - -,34.1,92.7, , , ,85.1,79.8,76.6, , , ,2021.0,2021-01-01
556,Jordan Montgomery,NYY,157.1,92.7,87.5, ,92.6,82.6, ,80.1, , , ,2021.0,2021-01-01
557,Jose Urquidy,HOU,107.0,92.7, , , ,84.5,79.4,77.4, , , ,2021.0,2021-01-01
558,Glenn Otto,TEX,23.1,92.7, , , ,87.3,80.8,80.6, , , ,2021.0,2021-01-01
559,Daniel Camarena,SDP,9.1,92.7, , ,92.5,84.2,84.6,77.6, , , ,2021.0,2021-01-01
560,Nick Wittgren,CLE,62.1,92.6,88.5, , ,85.9,83.8, , , , ,2021.0,2021-01-01
561,Ben Bowden,COL,35.2,92.6, , , ,82.6,81.3, , , , ,2021.0,2021-01-01
562,Dean Kremer,BAL,53.2,92.6, , ,92.9,82.9,87.2,75.6, , , ,2021.0,2021-01-01
563,Craig Stammen,SDP,88.1,92.6,89.2, ,92.3,86.4,88.2,80.4, , , ,2021.0,2021-01-01
564,Jhoulys Chacin,COL,64.1,92.6,88.3, ,93.0,84.8,81.3, , , , ,2021.0,2021-01-01
565,Sammy Long,SFG,40.2,92.6, , , ,80.3,86.7,74.9, , , ,2021.0,2021-01-01
