#,Name,Team,BABIP,GB/FB,LD%,GB%,FB%,IFFB%,HR/FB,RS,RS/9,Balls,Strikes,Pitches,Pull%,Cent%,Oppo%,Soft%,Med%,Hard%,MonthSeason,MonthYear
61,Anibal Sanchez,WSN,.200,0.89,20.0%,37.8%,42.2%,15.8%,18.4%,8,2.35,218,323,541,46.7%,29.3%,23.9%,15.2%,52.2%,32.6%,5,8
62,Jordan Lyles,BAL,.349,0.87,12.4%,40.7%,46.9%,13.2%,7.5%,25,6.62,199,381,580,41.6%,34.5%,23.9%,16.8%,50.4%,32.7%,5,8
63,Tyler Alexander,DET,.283,0.83,24.5%,34.3%,41.2%,2.4%,14.3%,11,3.23,162,327,489,40.0%,38.1%,21.9%,10.5%,49.5%,40.0%,5,8
64,Blake Snell,SDP,.359,0.81,27.5%,32.5%,40.0%,9.4%,9.4%,20,5.63,201,393,594,32.1%,34.6%,33.3%,16.0%,46.9%,37.0%,5,8
65,Eric Lauer,MIL,.247,0.81,24.7%,33.7%,41.6%,5.4%,13.5%,14,4.20,178,321,499,38.9%,33.3%,27.8%,14.4%,51.1%,34.4%,5,8
66,Jose Urquidy,HOU,.205,0.77,17.9%,35.7%,46.4%,12.8%,15.4%,18,5.12,148,339,487,46.4%,34.5%,19.0%,15.5%,53.6%,31.0%,5,8
67,Kutter Crawford,BOS,.375,0.76,20.4%,34.4%,45.2%,7.1%,14.3%,17,5.16,180,311,491,44.7%,38.3%,17.0%,13.8%,42.6%,43.6%,5,8
68,Brandon Woodruff,MIL,.253,0.75,22.2%,33.3%,44.4%,2.8%,16.7%,8,2.40,151,324,475,35.8%,34.6%,29.6%,7.4%,53.1%,39.5%,5,8
69,Matt Manning,DET,.309,0.73,22.8%,32.7%,44.6%,15.6%,8.9%,12,3.34,174,337,511,40.6%,33.7%,25.7%,20.8%,47.5%,31.7%,5,8
70,Corey Kluber,TBR,.297,0.73,20.8%,33.3%,45.8%,13.6%,15.9%,17,5.16,120,305,425,38.8%,36.7%,24.5%,19.4%,59.2%,21.4%,5,8
71,Luis Garcia,HOU,.364,0.68,26.4%,29.7%,44.0%,10.0%,7.5%,25,7.76,161,302,463,45.1%,28.6%,26.4%,15.4%,56.0%,28.6%,5,8
72,Triston McKenzie,CLE,.250,0.66,21.5%,31.2%,47.3%,20.5%,11.4%,11,2.56,172,402,574,45.2%,29.0%,25.8%,16.1%,54.8%,29.0%,5,8
73,Adam Oller,OAK,.247,0.65,15.1%,33.3%,51.6%,10.4%,4.2%,6,1.82,165,282,447,38.9%,35.8%,25.3%,15.8%,52.6%,31.6%,5,8
74,Freddy Peralta,MIL,.132,0.64,8.9%,35.4%,55.7%,18.2%,9.1%,12,3.64,188,287,475,51.3%,18.8%,30.0%,18.8%,60.0%,21.3%,5,8
75,Austin Voth,BAL,.200,0.62,17.1%,31.7%,51.2%,14.3%,7.1%,15,4.82,155,273,428,32.9%,31.7%,35.4%,20.7%,42.7%,36.6%,5,8
76,James Kaprielian,OAK,.330,0.58,19.4%,29.6%,51.0%,10.0%,6.0%,8,2.48,195,335,530,39.0%,30.0%,31.0%,13.0%,57.0%,30.0%,5,8
77,Max Scherzer,NYM,.290,0.58,12.3%,32.1%,55.7%,11.9%,3.4%,20,4.43,192,423,615,34.9%,33.9%,31.2%,24.8%,55.0%,20.2%,5,8
78,Carlos Rodon,SFG,.268,0.57,20.5%,28.8%,50.7%,8.1%,8.1%,17,5.40,182,318,500,23.3%,52.1%,24.7%,16.4%,53.4%,30.1%,5,8
79,Mike Clevinger,SDP,.235,0.50,21.4%,26.2%,52.4%,11.1%,9.3%,28,7.88,203,344,547,49.5%,30.1%,20.4%,13.6%,58.3%,28.2%,5,8
80,Drew Smyly,CHC,.253,0.49,23.8%,25.0%,51.2%,7.0%,2.3%,10,3.00,147,335,482,42.9%,29.8%,27.4%,13.1%,58.3%,28.6%,5,8
81,Dylan Cease,CHW,.157,0.48,12.2%,28.4%,59.5%,13.6%,11.4%,7,2.08,191,283,474,33.3%,44.0%,22.7%,22.7%,50.7%,26.7%,5,8
82,Cristian Javier,HOU,.200,0.43,17.5%,25.0%,57.5%,17.4%,10.9%,12,3.38,173,360,533,48.8%,27.5%,23.8%,23.8%,51.3%,25.0%,5,8
83,Joe Ryan,MIN,.309,0.40,29.4%,20.0%,50.6%,14.0%,11.6%,16,4.41,178,385,563,39.5%,30.2%,30.2%,16.3%,48.8%,34.9%,5,8
