#,Name,Team,BABIP,GB/FB,LD%,GB%,FB%,IFFB%,HR/FB,RS,RS/9,Balls,Strikes,Pitches,Pull%,Cent%,Oppo%,Soft%,Med%,Hard%,MonthSeason,MonthYear
31,Hayden Wesneski,CHC,.244,1.14,11.5%,47.1%,41.4%,13.9%,8.3%,17,4.64,166,330,496,47.2%,30.3%,22.5%,21.3%,61.8%,16.9%,6,9
32,Kyle Freeland,COL,.364,1.13,19.0%,43.0%,38.0%,7.9%,5.3%,18,4.96,177,342,519,39.6%,44.6%,15.8%,12.9%,50.5%,36.6%,6,9
33,Cal Quantrill,CLE,.336,1.11,16.4%,44.0%,39.7%,17.4%,8.7%,22,5.30,208,379,587,35.0%,33.3%,31.7%,23.3%,52.5%,24.2%,6,9
34,Lance Lynn,CHW,.301,1.09,19.0%,42.2%,38.8%,17.8%,6.7%,22,5.30,197,399,596,45.7%,33.6%,20.7%,21.6%,50.0%,28.4%,6,9
35,Nick Pivetta,BOS,.315,1.08,19.8%,41.7%,38.5%,2.7%,18.9%,19,5.29,241,398,639,46.9%,33.3%,19.8%,11.5%,51.0%,37.5%,6,9
36,Adrian Sampson,CHC,.243,1.07,18.4%,42.1%,39.5%,6.7%,6.7%,22,5.12,218,367,585,36.0%,36.8%,27.2%,17.5%,57.0%,25.4%,6,9
37,Kevin Gausman,TOR,.330,1.06,22.9%,39.6%,37.5%,8.3%,16.7%,18,4.72,150,383,533,37.1%,30.9%,32.0%,22.7%,50.5%,26.8%,6,9
38,Brandon Woodruff,MIL,.263,1.05,16.5%,42.7%,40.8%,2.4%,11.9%,24,4.84,227,451,678,36.5%,28.8%,34.6%,15.4%,50.0%,34.6%,6,9
39,Charlie Morton,ATL,.304,1.03,18.4%,41.4%,40.2%,5.7%,22.9%,22,6.25,193,358,551,36.8%,36.8%,26.4%,13.8%,50.6%,35.6%,6,9
40,Bryse Wilson,PIT,.250,1.03,19.0%,41.0%,40.0%,2.5%,12.5%,20,5.40,165,311,476,44.6%,29.7%,25.7%,10.9%,56.4%,32.7%,6,9
41,Luis Cessa,CIN,.229,1.02,16.5%,42.2%,41.3%,11.1%,11.1%,6,1.46,200,347,547,48.2%,33.6%,18.2%,12.7%,56.4%,30.9%,6,9
42,Jesus Luzardo,MIA,.280,0.96,31.3%,33.8%,35.0%,3.6%,17.9%,17,4.37,210,367,577,46.3%,35.0%,18.8%,17.5%,47.5%,35.0%,6,9
43,Johnny Cueto,CHW,.350,0.93,23.9%,36.8%,39.3%,4.3%,4.3%,12,3.12,182,364,546,34.5%,35.3%,30.3%,19.3%,54.6%,26.1%,6,9
44,Julio Urias,LAD,.200,0.93,13.0%,42.0%,45.0%,15.6%,13.3%,30,7.64,170,353,523,41.6%,31.7%,26.7%,20.8%,52.5%,26.7%,6,9
45,Michael Wacha,BOS,.337,0.91,14.6%,40.8%,44.7%,13.0%,17.4%,27,7.52,158,340,498,37.9%,45.6%,16.5%,18.4%,48.5%,33.0%,6,9
46,Jon Heasley,KCR,.270,0.90,13.9%,40.9%,45.2%,5.8%,7.7%,20,5.40,205,322,527,43.5%,30.4%,26.1%,14.8%,54.8%,30.4%,6,9
47,Merrill Kelly,ARI,.243,0.88,21.4%,36.8%,41.9%,12.2%,22.4%,21,4.43,230,428,658,45.8%,36.4%,17.8%,13.6%,47.5%,39.0%,6,9
48,Joe Musgrove,SDP,.293,0.87,18.4%,37.9%,43.7%,18.4%,15.8%,7,1.99,191,343,534,43.2%,35.2%,21.6%,22.7%,47.7%,29.5%,6,9
49,Zac Gallen,ARI,.224,0.86,21.6%,36.4%,42.0%,2.7%,10.8%,17,3.99,198,409,607,40.4%,32.6%,27.0%,13.5%,59.6%,27.0%,6,9
50,Glenn Otto,TEX,.263,0.86,22.6%,35.8%,41.5%,13.6%,18.2%,16,4.00,205,351,556,40.6%,31.1%,28.3%,14.2%,49.1%,36.8%,6,9
51,Ken Waldichuk,OAK,.287,0.81,21.2%,35.4%,43.4%,9.3%,11.6%,20,5.19,209,377,586,40.4%,33.3%,26.3%,12.1%,53.5%,34.3%,6,9
52,Triston McKenzie,CLE,.257,0.81,16.7%,37.3%,46.1%,12.8%,6.4%,23,5.35,154,394,548,43.3%,28.8%,27.9%,15.4%,55.8%,28.8%,6,9
53,Rich Hill,BOS,.343,0.80,17.0%,37.0%,46.0%,15.2%,8.7%,15,3.89,192,386,578,50.5%,31.1%,18.4%,17.5%,55.3%,27.2%,6,9
54,Marco Gonzales,SEA,.232,0.80,16.5%,37.2%,46.3%,10.7%,16.1%,19,4.71,172,373,545,43.0%,28.9%,28.1%,19.8%,57.9%,22.3%,6,9
55,Cole Irvin,OAK,.346,0.80,22.1%,34.5%,43.4%,6.1%,14.3%,20,5.40,149,344,493,36.0%,32.5%,31.6%,15.8%,54.4%,29.8%,6,9
56,Jeffrey Springs,TBR,.240,0.79,20.6%,35.1%,44.3%,9.3%,4.7%,16,4.19,178,347,525,45.4%,30.9%,23.7%,13.4%,57.7%,28.9%,6,9
57,Dylan Cease,CHW,.228,0.79,17.2%,36.6%,46.2%,14.0%,4.7%,32,7.78,232,379,611,41.5%,36.2%,22.3%,18.1%,54.3%,27.7%,6,9
58,Jameson Taillon,NYY,.291,0.79,21.5%,34.6%,43.9%,8.5%,8.5%,23,5.65,191,377,568,44.9%,34.6%,20.6%,14.0%,50.5%,35.5%,6,9
59,Gerrit Cole,NYY,.250,0.77,20.5%,34.6%,44.9%,0.0%,28.6%,26,6.50,221,387,608,34.6%,32.1%,33.3%,5.1%,43.6%,51.3%,6,9
60,Blake Snell,SDP,.253,0.77,19.5%,35.1%,45.5%,11.4%,5.7%,15,3.86,235,362,597,37.7%,29.9%,32.5%,18.2%,50.6%,31.2%,6,9
