#,Name,Team,BABIP,GB/FB,LD%,GB%,FB%,IFFB%,HR/FB,RS,RS/9,Balls,Strikes,Pitches,Pull%,Cent%,Oppo%,Soft%,Med%,Hard%,MonthSeason,MonthYear
31,Adrian Houser,MIL,.340,1.35,20.8%,45.5%,33.7%,5.9%,14.7%,10,3.00,218,321,539,40.2%,41.2%,18.6%,12.7%,50.0%,37.3%,3,6
32,Jose Berrios,TOR,.270,1.34,16.0%,48.1%,35.8%,3.4%,27.6%,30,9.42,130,286,416,40.2%,41.5%,18.3%,16.7%,48.8%,34.5%,3,6
33,German Marquez,COL,.274,1.34,19.6%,46.1%,34.3%,5.7%,20.0%,24,6.35,200,341,541,40.2%,32.4%,27.5%,10.8%,60.8%,28.4%,3,6
34,Cal Quantrill,CLE,.280,1.32,19.6%,45.8%,34.6%,13.5%,18.9%,17,4.94,157,302,459,41.1%,34.6%,24.3%,18.7%,47.7%,33.6%,3,6
35,Madison Bumgarner,ARI,.381,1.31,22.4%,43.9%,33.6%,0.0%,8.3%,8,2.32,222,373,595,53.7%,33.3%,13.0%,7.4%,49.1%,43.5%,3,6
36,Luis Castillo,CIN,.286,1.30,17.9%,46.4%,35.7%,10.0%,6.7%,15,4.45,202,347,549,37.6%,35.3%,27.1%,16.5%,50.6%,32.9%,3,6
37,Shohei Ohtani,LAA,.279,1.28,19.7%,45.1%,35.2%,4.0%,12.0%,16,4.85,171,313,484,39.4%,33.8%,26.8%,16.9%,62.0%,21.1%,3,6
38,Frankie Montas,OAK,.303,1.25,20.9%,44.0%,35.2%,6.3%,9.4%,10,2.90,182,323,505,44.6%,32.6%,22.8%,17.4%,56.5%,26.1%,3,6
39,Tarik Skubal,DET,.333,1.21,17.6%,45.1%,37.4%,2.9%,11.8%,12,3.34,200,378,578,30.8%,42.9%,26.4%,11.0%,57.1%,31.9%,3,6
40,Jon Gray,TEX,.273,1.20,26.7%,40.0%,33.3%,10.0%,6.7%,24,5.73,195,397,592,37.8%,34.4%,27.8%,18.9%,55.6%,25.6%,3,6
41,JT Brubaker,PIT,.349,1.20,22.1%,42.5%,35.4%,5.0%,10.0%,23,6.03,195,376,571,45.1%,37.2%,17.7%,12.4%,61.9%,25.7%,3,6
42,Chris Bassitt,NYM,.299,1.16,16.3%,45.0%,38.8%,3.2%,12.9%,10,2.93,168,325,493,38.3%,30.9%,30.9%,16.0%,58.0%,25.9%,3,6
43,Shane Bieber,CLE,.319,1.15,26.8%,39.2%,34.0%,9.1%,9.1%,18,4.34,171,379,550,38.1%,36.1%,25.8%,10.3%,47.4%,42.3%,3,6
44,Miles Mikolas,STL,.200,1.12,18.2%,43.2%,38.6%,2.9%,8.8%,25,6.62,185,332,517,35.2%,35.2%,29.5%,20.5%,51.1%,28.4%,3,6
45,Zac Gallen,ARI,.278,1.11,24.0%,40.0%,36.0%,11.1%,18.5%,5,1.75,168,309,477,42.9%,32.5%,24.7%,18.2%,53.2%,28.6%,3,6
46,Jeffrey Springs,TBR,.324,1.07,22.2%,40.3%,37.5%,14.8%,18.5%,14,4.73,161,298,459,52.1%,26.0%,21.9%,13.7%,57.5%,28.8%,3,6
47,Shane McClanahan,TBR,.208,1.06,13.5%,44.6%,41.9%,9.7%,12.9%,11,3.00,154,321,475,41.3%,37.3%,21.3%,21.3%,45.3%,33.3%,3,6
48,Michael Wacha,BOS,.295,1.06,25.3%,38.5%,36.3%,12.1%,9.1%,17,5.16,172,300,472,39.6%,35.2%,25.3%,13.2%,50.5%,36.3%,3,6
49,Justin Verlander,HOU,.211,1.05,21.4%,40.2%,38.4%,23.3%,7.0%,13,2.95,179,401,580,36.6%,32.1%,31.3%,18.8%,52.7%,28.6%,3,6
50,Gerrit Cole,NYY,.226,1.03,4.4%,48.5%,47.1%,0.0%,18.8%,19,5.76,160,321,481,35.3%,38.2%,26.5%,11.8%,64.7%,23.5%,3,6
51,Jose Quintana,PIT,.337,1.03,28.0%,36.6%,35.5%,12.1%,15.2%,18,5.40,189,336,525,42.6%,35.1%,22.3%,22.3%,46.8%,30.9%,3,6
52,Tyler Anderson,LAD,.262,1.03,17.4%,41.9%,40.7%,11.4%,5.7%,12,3.81,150,312,462,46.5%,30.2%,23.3%,17.4%,44.2%,38.4%,3,6
53,Patrick Corbin,WSN,.341,1.03,18.5%,41.3%,40.2%,8.1%,18.9%,16,5.27,164,310,474,43.5%,37.0%,19.6%,14.1%,45.7%,40.2%,3,6
54,Yu Darvish,SDP,.242,1.03,17.7%,41.7%,40.6%,7.7%,5.1%,21,5.30,168,340,508,46.4%,26.8%,26.8%,18.6%,53.6%,27.8%,3,6
55,Carlos Rodon,SFG,.258,1.00,20.5%,39.8%,39.8%,17.1%,2.9%,18,4.50,177,392,569,36.7%,32.2%,31.1%,20.0%,55.6%,24.4%,3,6
56,Corbin Burnes,MIL,.292,1.00,21.7%,39.1%,39.1%,18.5%,14.8%,18,5.65,193,325,518,47.8%,31.9%,20.3%,21.7%,44.9%,33.3%,3,6
