#,Name,Team,IP,FA%,FT%,FC%,FS%,FO%,SI%,SL%,CU%,KC%,EP%,CH%,SC%,KN%,UN%,MonthSeason,MonthYear
1,Antonio Senzatela,COL,28.1,60.5%, , , , ,2.2%,24.3%,3.7%, , ,9.2%, , , ,3,6
2,Justin Steele,CHC,29.2,60.4%, , , , ,11.5%,24.7%,0.4%, , ,2.9%, , , ,3,6
3,Triston McKenzie,CLE,29.1,58.6%, , , , , ,21.8%,19.6%, , , , , , ,3,6
4,Logan Gilbert,SEA,35.2,56.8%, , , , , ,21.4%, ,13.9%, ,8.0%, , , ,3,6
5,Carlos Rodon,SFG,36.0,55.4%, , , , , ,38.3%,4.6%, , ,1.8%, , , ,3,6
6,Andre Pallante,STL,30.1,55.3%, , , , ,9.5%,18.1%,17.2%, , , , , , ,3,6
7,Jose Urquidy,HOU,29.1,55.1%, ,4.9%, , , ,13.0%,13.0%, , ,14.0%, , , ,3,6
8,Nick Pivetta,BOS,40.0,54.6%, , , , , ,17.8%, ,26.0%, ,1.6%, , , ,3,6
9,Justin Verlander,HOU,39.2,54.5%, , , , , ,28.1%,15.9%, , ,1.6%, , , ,3,6
10,Tyler Mahle,CIN,33.2,52.2%, ,12.9%,23.7%, , ,11.2%, , , , , , , ,3,6
11,Jon Gray,TEX,37.2,50.3%, , , , , ,35.1%,6.4%, , ,8.1%, , , ,3,6
12,Julio Urias,LAD,28.2,50.1%, , , , ,0.4%, ,32.4%, , ,17.0%, , , ,3,6
13,Gerrit Cole,NYY,29.2,48.2%, ,10.6%, , , ,22.5%, ,9.6%, ,9.1%, , , ,3,6
14,Zac Gallen,ARI,25.2,48.0%, ,10.3%, , , ,0.6%, ,22.4%, ,18.7%, , , ,3,6
15,Ian Anderson,ATL,28.2,48.0%, , , , , , ,16.0%, , ,36.0%, , , ,3,6
16,Hunter Greene,CIN,29.2,47.4%, , , , , ,47.6%, , , ,5.0%, , , ,3,6
17,Lucas Giolito,CHW,27.0,47.1%, , , , , ,27.5%,1.3%, , ,24.1%, , , ,3,6
18,Eric Lauer,MIL,27.2,43.8%, ,7.1%, , , ,30.3%,16.9%, , ,1.9%, , , ,3,6
19,Luis Severino,NYY,30.0,43.8%, ,6.5%, , ,2.5%,27.6%, , , ,19.6%, , , ,3,6
20,Dean Kremer,BAL,28.0,43.7%, ,28.6%, , , , ,10.5%, , ,17.2%, , , ,3,6
21,Zach Plesac,CLE,30.0,43.4%, , , , , ,25.9%,9.9%, , ,20.8%, , , ,3,6
22,Tyler Wells,BAL,26.0,42.3%, , , , , ,26.7%,13.3%, , ,17.7%, , , ,3,6
23,Beau Brieske,DET,27.1,42.2%, , , , ,11.6%,26.2%,1.2%, , ,18.8%, , , ,3,6
24,Keegan Thompson,CHC,27.1,41.7%, ,24.1%, , ,9.2%,5.8%,14.5%, , ,4.7%, , , ,3,6
25,Dylan Cease,CHW,27.1,41.5%, , , , , ,42.2%, ,14.0%, ,2.3%, , , ,3,6
26,Rony Garcia,DET,25.1,41.4%, , , , ,20.1%, ,29.4%, , ,9.1%, , , ,3,6
27,Tony Gonsolin,LAD,29.0,41.1%, , ,26.6%, , ,24.3%,8.0%, , , , , , ,3,6
28,Chris Flexen,SEA,33.0,40.8%, ,32.5%, , , ,9.4%,2.4%, , ,14.9%, , , ,3,6
29,Luis Garcia,HOU,27.2,40.7%, ,32.3%, , , ,9.5%,6.4%, , ,11.2%, , , ,3,6
30,Jose Quintana,PIT,30.0,40.6%, , , , ,10.3%, ,28.2%, , ,21.0%, , , ,3,6
